region,cash capita,formal wage,child mortality,disabled,alcoholism,narcotism,gross product,living area,poor living conditions,general morbidity,teen pregnancy,brith,proverty percent,poverty children,poverty pensioner,poverty man,minerals mining,electricity and gas,water and garbage collection,manufacturing industries,industrial production,retail per capita,orhans,adopted children,number of pensioners,pension,living_wage,children %,population,retired %
Чувашская Республика — Чувашия,18919.666666666668,26226.333333333332,135.0625,824991.1666666666,135.16666666666666,2.9416666666666664,118592.18399999998,14.2,0.3,95869.05,1611.8,14882.623125,26.2076923076923,22.2,4.2,73.6,725413.175,25697725.0075,6453356.65,204777269.7675,237653764.60000002,123133.22222222222,124.5,255.125,312342.0,15545.52,9804.0,20.784300562500004,1207875.0,24.642857142857142
Пермский край,29534.333333333332,34850.166666666664,381.46875,2147283.3333333335,163.14166666666668,23.341666666666665,233702.956,16.0,0.4,96476.05,2082.9333333333334,33769.48499999999,17.211538461538463,41.5,3.7,54.8,341889802.15,123513130.48,26809566.950000003,1070773341.0199999,1562985840.6,198739.11111111112,670.375,1751.125,672211.0,16816.87,10844.0,21.93136519375,2579261.0,24.400000000000002
Кировская область,22453.333333333332,26929.0,153.875,1294276.0,116.49166666666667,3.866666666666667,121634.052,14.9,0.3,75074.95,822.9666666666666,14662.749375,24.096153846153847,40.8,3.4,55.7,1719270.2149999999,40387686.115,7252260.34,231496545.42,280855762.09,146872.0,730.0,400.875,380153.14285714284,16337.32,10710.0,19.45195323,1250173.0,28.74285714285714
Нижегородская область,31542.666666666668,31838.166666666668,367.03125,3036976.0,95.32499999999999,12.283333333333331,195429.78399999999,17.5,0.2,91170.45000000001,676.6999999999999,34569.986874999995,16.303846153846152,31.7,3.8,64.5,1645956.175,106809487.195,31076052.9,1371244527.14,1510776023.4099998,216634.66666666666,921.0,995.0,901557.4285714285,16472.18,10372.0,18.27285711625,3176552.0,27.571428571428573
Оренбургская область,23430.833333333332,29429.0,292.5,2000748.6666666667,137.70833333333331,7.841666666666666,222197.16,19.0,1.0,78544.45000000001,1172.5333333333333,25405.239999999998,21.876923076923074,42.8,3.3,53.9,500766822.09999996,63039287.6425,19409165.375,322163991.5375,905379266.655,152341.88888888888,866.0,813.125,497740.71428571426,15446.37,9760.0,21.77001325125,1942915.0,24.728571428571428
Пензенская область,22056.0,27877.666666666668,137.8125,1018099.8333333334,170.7166666666667,11.183333333333335,131569.236,16.9,0.1,73892.55,713.4333333333334,12941.874375,24.615384615384617,32.7,12.8,54.5,1310516.0499999998,22272335.0,6365299.6,219651229.27499998,249599379.925,152727.55555555556,142.25,248.125,363012.14285714284,15395.84,9610.0,17.385334727500002,1290898.0,29.199999999999996
Самарская область,28243.0,32428.166666666668,294.78125,2241718.3333333335,99.25,18.791666666666668,222190.996,16.9,0.3,100452.70000000001,1040.4333333333332,35355.55437499999,17.623076923076923,36.9,9.5,53.6,321398093.875,127211276.0075,43516514.6225,1077986398.2,1570112282.705,200478.66666666666,758.625,978.75,833334.8571428572,16484.13,10962.0,18.618954218749998,3154164.0,26.714285714285715
Саратовская область,21397.5,26983.166666666668,309.34375,1441206.0,103.03333333333335,7.375,140879.296,17.8,1.7,74971.0,1071.3999999999999,25248.302499999998,24.03076923076923,39.0,2.5,58.5,35468509.6,97675384.84,14753419.850000001,397223946.305,545121260.595,141272.77777777778,578.125,787.25,639372.1428571428,15180.92,9631.0,18.29028589875,2395111.0,27.271428571428572
Ульяновская область,23282.833333333332,27494.666666666668,166.21875,1175804.8333333333,146.13333333333333,16.125,138229.24800000002,17.9,0.5,88122.25,661.0,13025.873749999999,21.746153846153845,38.4,3.1,58.5,10636486.84,27296490.200000003,9299930.025,276551226.4775,323784133.5425,146659.22222222222,382.625,414.125,340237.28571428574,15486.37,10306.0,17.8735654225,1218319.0,28.37142857142857
Курганская область,20773.833333333332,27134.166666666668,145.21875,774761.8333333334,134.54166666666666,24.758333333333336,119218.696,16.7,0.9,94560.95,1275.6000000000001,10504.121875,29.700000000000003,39.4,2.4,58.2,3381283.325,20621190.39,3600096.6575,112741248.485,140343818.85750002,132054.88888888888,422.75,527.75,242866.7142857143,15613.02,10452.0,20.990746445,818570.0,28.642857142857142
Свердловская область,36207.333333333336,36702.833333333336,493.03125,2887300.0,104.07499999999999,30.991666666666664,240022.08399999997,15.8,0.5,74009.7,1127.6333333333334,54376.48562499999,15.896153846153844,46.3,2.2,51.5,82182147.125,244949710.18750003,72382575.44500001,1953744313.3975,2353258746.155,252215.0,2078.25,1760.625,1146340.5714285714,17329.96,10817.0,20.8417155275,4290067.0,25.371428571428574
Ханты-Мансийский автономный округ — Югра,50059.5,69360.0,175.03225806451613,543149.1666666666,121.93333333333334,25.133333333333336,880545.547826087,13.9,0.6,89524.4,1403.8666666666668,23907.366875,7.8307692307692305,55.6,1.6,42.9,3320220987.4500003,220242182.79999998,23989538.15,618836550.8924999,4183289259.2925005,243728.77777777778,59.125,347.25,377333.5714285714,24269.75,15890.0,25.07034096625,1687654.0,15.814285714285715
Ямало-Ненецкий автономный округ,78070.5,93313.33333333333,90.5,145572.66666666666,149.75833333333335,18.35,1640576.786956522,15.5,0.8,113972.4,1704.6333333333332,7957.1875,5.750000000000001,51.0,0.7,48.4,2351223033.225,53939251.0,11384815.625,368252669.38,2784799769.23,249421.33333333334,80.75,191.25,120536.85714285714,24325.57,16640.0,26.159551793749998,547010.0,11.742857142857142
Тюменская область,28856.5,43150.833333333336,172.21875,987659.8333333334,129.45555555555555,20.655555555555555,290910.77826086956,18.1,1.0,63981.399999999994,1585.4666666666665,20953.808750000004,13.566666666666668,37.9,7.5,54.7,218648828.27499998,53001253.010000005,13002333.925,701439790.755,986092205.965,244345.44444444444,269.375,508.125,325383.71428571426,17420.35,11748.0,22.9532965675,1543389.0,22.357142857142858
Челябинская область,24744.833333333332,34139.5,433.125,2332220.1666666665,121.8,27.650000000000002,189387.968,16.0,0.5,87331.7,1530.5666666666666,42948.986874999995,18.065384615384616,40.6,6.0,53.4,93129156.525,129556997.4725,38519361.3075,1436463755.1,1697669270.405,156456.77777777778,2361.625,1240.125,896189.5714285715,16570.37,11232.0,20.917171205,3442810.0,25.314285714285713
Республика Алтай,19304.166666666668,29151.833333333332,59.5625,228873.33333333334,123.625,7.166666666666667,107821.5,14.4,1.8,89430.0,2231.233333333333,3887.4375,32.926923076923075,44.5,2.9,52.6,2061726.7750000001,2872515.9749999996,465722.825,4156743.5625,9556709.1375,116796.11111111111,183.75,162.375,40944.42857142857,15092.1,10697.0,30.39333324875,220954.0,18.014285714285712
Республика Тыва (Тува),16124.166666666666,34826.166666666664,136.40625,220805.66666666666,88.15000000000002,10.6,92912.776,13.6,7.3,63618.35,959.3666666666667,7402.311250000001,45.31153846153847,45.0,2.6,52.4,22585844.675,4803955.2075000005,334944.69999999995,529174.255,28253918.8375,71062.88888888889,169.625,563.0,49391.0,17192.77,10674.0,36.9003565875,330368.0,11.114285714285716
Республика Хакасия,21181.5,36441.666666666664,97.9375,292806.6666666667,120.75833333333334,15.875000000000002,184767.28,17.9,1.0,84791.05,1032.2666666666667,7218.185624999999,24.18076923076923,43.2,2.4,54.3,67074184.925000004,51917294.95,1881975.375,96731987.25,217605442.52499998,150800.0,130.5,314.75,126818.42857142857,16363.87,11795.0,23.542532416249998,532036.0,22.985714285714284
Алтайский край,22480.833333333332,24598.0,323.6875,1816918.1666666667,156.23333333333332,27.674999999999997,114429.31599999999,18.0,0.2,111208.65,1600.0333333333335,27605.676249999993,28.96538461538461,31.4,9.2,59.4,7014632.824999999,45471965.17,9664880.375,337589826.13,399741304.42499995,144555.33333333334,1036.5,936.75,630019.8571428572,15291.93,10211.0,20.66793140875,2296353.0,26.685714285714287
Красноярский край,29723.833333333332,44275.833333333336,464.71875,1893378.1666666667,143.08333333333334,23.28333333333333,337849.376,16.6,0.8,78460.95000000001,1497.0666666666666,36217.365,19.426923076923078,35.8,4.8,59.4,679192366.95,172422240.635,30496693.88,1373671073.6525002,2255782375.1175003,184501.88888888888,2106.625,1523.375,705836.1428571428,17933.54,13053.0,21.387845718750004,2855899.0,22.557142857142853
Иркутская область,24346.833333333332,40869.833333333336,430.90625,2213283.8333333335,173.8166666666667,30.549999999999997,237599.41200000004,16.3,0.9,97599.6,1006.0,34139.175624999996,23.253846153846155,41.5,7.0,51.5,552957575.55,123274329.775,17268020.9,505605561.275,1199105487.5,142186.33333333334,2232.125,1710.25,604853.0,17639.8,11982.0,23.54693924875,2375021.0,22.37142857142857
